loss,running_loss,mode,lr
0.43086370825767517,0.6445345788056778,Train,0.001
0.5026965737342834,0.418239574077265,Eval,
0.4388549327850342,0.3991026558276158,Train,0.001
0.48270943760871887,0.39331541534222886,Eval,
0.39345207810401917,0.38521561384023817,Train,0.001
0.48788851499557495,0.38606140659223953,Eval,
0.43846818804740906,0.3797053669467158,Train,0.001
0.4790012836456299,0.3822642792523148,Eval,
0.3764108717441559,0.3764345814438073,Train,0.001
0.4837501049041748,0.37989389207435525,Eval,
0.4122591018676758,0.3744541094428386,Train,0.001
0.4693261981010437,0.3782950238948457,Eval,
0.39213958382606506,0.37304007189738136,Train,0.001
0.48591184616088867,0.37731709507450245,Eval,
0.3682939112186432,0.3719999894718885,Train,0.001
0.48721691966056824,0.37647442732257264,Eval,
0.4159659445285797,0.37122661101312093,Train,0.001
0.48176923394203186,0.37642751114450346,Eval,
0.37547704577445984,0.37059818768272773,Train,0.001
0.4718928039073944,0.37614431993019687,Eval,
