loss,running_loss,mode
2.6268935203552246,2.8044541789566657,Train
1.9263027906417847,2.2823650083451907,Eval
1.9761520624160767,2.2233386645643978,Train
1.6222429275512695,1.9043775155859175,Eval
1.4388376474380493,1.8412788728732028,Train
1.3484928607940674,1.5572097616375615,Eval
1.3082044124603271,1.4817277342433335,Train
1.090635895729065,1.2374063106078024,Eval
0.9106683135032654,1.153488176652444,Train
0.8658575415611267,0.9590362557825052,Eval
0.7405633926391602,0.8813613433364436,Train
0.6857068538665771,0.7379842125019938,Eval
0.6290120482444763,0.6740846805820511,Train
0.5590102076530457,0.5801444107069159,Eval
0.47497251629829407,0.5313333570252637,Train
0.4750334918498993,0.47412974598272806,Eval
0.4101833999156952,0.43725314990003067,Train
0.41887345910072327,0.40427092195681785,Eval
0.34961050748825073,0.3807251452695114,Train
0.39157530665397644,0.37269034194496453,Eval
0.36723756790161133,0.3534314642983967,Train
0.3743800222873688,0.35058797474177367,Eval
0.35004082322120667,0.33032864642199616,Train
0.3579298257827759,0.33095619560412637,Eval
0.33255189657211304,0.3103850410621498,Train
0.34337717294692993,0.3141402531907244,Eval
0.28613385558128357,0.29368153439909545,Train
0.33386626839637756,0.3016984628618889,Eval
0.2935364246368408,0.279726068178813,Train
0.3252730667591095,0.2900484772223346,Eval
0.2610098719596863,0.2679466072549209,Train
0.3177655339241028,0.28026885384658595,Eval
0.2635246515274048,0.2572911247153088,Train
0.3098714053630829,0.27151245019345915,Eval
0.2692550718784332,0.24937030514504044,Train
0.3022194504737854,0.2653950875941312,Eval
0.252633273601532,0.24141199407707153,Train
0.2989289462566376,0.25925286156388944,Eval
0.26124459505081177,0.23235864053099428,Train
0.2940923571586609,0.25373197599964314,Eval
0.2454625368118286,0.22850769807542756,Train
0.29410210251808167,0.25102332599882804,Eval
