loss,running_loss,mode
2.365034580230713,2.8231863231523664,Train
1.9740614891052246,2.255370779982153,Eval
1.7659302949905396,2.2215548218282946,Train
1.6588338613510132,1.881863813355284,Eval
1.4427803754806519,1.843061670625746,Train
1.3749865293502808,1.5420190107147647,Eval
1.1175265312194824,1.483260873361683,Train
1.106891393661499,1.2276320918551036,Eval
0.908455491065979,1.1605272643955045,Train
0.8741753697395325,0.9537183141933299,Eval
0.8146059513092041,0.883579880915071,Train
0.69282466173172,0.7367465096824575,Eval
0.612133264541626,0.6763072089946015,Train
0.5575529932975769,0.58047039891189,Eval
0.49390968680381775,0.5342620879623062,Train
0.4709509611129761,0.4769858543602925,Eval
0.42023494839668274,0.44024494001487724,Train
0.4119206964969635,0.4076057773716044,Eval
0.37386244535446167,0.3838153978188833,Train
0.38344988226890564,0.37524350156199243,Eval
0.36270391941070557,0.35585256734638343,Train
0.36292439699172974,0.3525477158573439,Eval
0.3508318066596985,0.33271961988568616,Train
0.34624025225639343,0.3339925183440154,Eval
0.2931862771511078,0.3127658713793924,Train
0.33074355125427246,0.3177595132926724,Eval
0.2775370478630066,0.2959611808295512,Train
0.3202277719974518,0.304257315003647,Eval
0.29017484188079834,0.2817975955158825,Train
0.3106323182582855,0.29209223108471566,Eval
0.28529345989227295,0.2693550609950479,Train
0.3036549687385559,0.2832303658690093,Eval
0.2617487907409668,0.25941999464452153,Train
0.29663577675819397,0.27546881237682314,Eval
0.24680151045322418,0.25090656466517897,Train
0.29167041182518005,0.26820217101079113,Eval
0.22439630329608917,0.24414979284254934,Train
0.28534480929374695,0.262524443274399,Eval
0.2366035133600235,0.23321534559377244,Train
0.27962446212768555,0.25673326751533554,Eval
0.23528335988521576,0.23013344861514187,Train
0.2793012261390686,0.2542120257638535,Eval
