loss,running_loss,mode,lr
0.3471519649028778,0.8187033479924848,Train,0.001
0.41757211089134216,0.3220041244376235,Eval,
0.23069703578948975,0.2435455172196185,Train,0.001
0.38086193799972534,0.26046662283541455,Eval,
0.23440870642662048,0.21014260329126255,Train,0.001
0.3600102365016937,0.2429079374363655,Eval,
0.21709996461868286,0.19921007339163396,Train,0.001
0.3429565131664276,0.235751232761421,Eval,
0.22300274670124054,0.19314924177616244,Train,0.001
0.32942911982536316,0.23190737679924964,Eval,
0.22842180728912354,0.18921116309507557,Train,0.001
0.33385956287384033,0.22608753809019885,Eval,
0.20060400664806366,0.1863737999775853,Train,0.001
0.32421085238456726,0.22327553250367835,Eval,
0.2149895876646042,0.18390066219670947,Train,0.001
0.32861360907554626,0.22157513132440446,Eval,
0.24049939215183258,0.18212291404209988,Train,0.001
0.3187510669231415,0.22025443139145023,Eval,
0.22064833343029022,0.18065586166215714,Train,0.001
0.3200662136077881,0.21849391588988784,Eval,
0.21699440479278564,0.17921037309601634,Train,0.001
0.31824469566345215,0.21692169774869968,Eval,
0.20816344022750854,0.1780185396908668,Train,0.001
0.3074682652950287,0.2164867803835036,Eval,
0.20890724658966064,0.17715270451802947,Train,0.001
0.313153475522995,0.2148090526743554,Eval,
0.19979268312454224,0.17622621333111102,Train,0.001
0.3116246461868286,0.21392190913152567,Eval,
0.19058670103549957,0.17553797033313462,Train,0.001
0.3081633150577545,0.21323264149161278,Eval,
0.21138156950473785,0.17471392033643743,Train,0.001
0.3103391230106354,0.21275811767172126,Eval,
0.18240554630756378,0.17431185359264836,Train,0.001
0.2982085645198822,0.21268339220402718,Eval,
0.19713808596134186,0.1735978536642792,Train,0.001
0.29639074206352234,0.21190601007179344,Eval,
