loss,running_loss,mode,lr
0.4916335940361023,0.6968458176998372,Train,0.001
0.502155065536499,0.455388215802305,Eval,
0.4294303357601166,0.4355034238786387,Train,0.001
0.4978775680065155,0.42091531067338606,Eval,
0.42611342668533325,0.4192360128210957,Train,0.001
0.5091953277587891,0.41421658603801725,Eval,
0.44165581464767456,0.4121918226300667,Train,0.001
0.4864562749862671,0.4084142420928102,Eval,
0.4002613127231598,0.4079855076147659,Train,0.001
0.5002215504646301,0.4055500669869902,Eval,
0.44028595089912415,0.4051778824904835,Train,0.001
0.5096858739852905,0.40384588434878943,Eval,
0.41144904494285583,0.40317655508722594,Train,0.001
0.502196192741394,0.4020772097408379,Eval,
0.43406951427459717,0.4014646339993565,Train,0.001
0.4998323619365692,0.40022907084250253,Eval,
0.4194353222846985,0.4001497166246977,Train,0.001
0.4848979413509369,0.3996998003168495,Eval,
0.4086374044418335,0.3990769863286211,Train,0.001
0.4954875707626343,0.39885710872699864,Eval,
