dataset,aug,notation,hl,hu,es,lr,bs,amount,epoch,T,chirals,invalid,valid,unique,novel,invalid%,valid%,unique%,novel%
grisoni,-1,fragSMILES,3,512,300,0.001,256,6000,8,1.0,1800.0 ± 200.0,450.0 ± 70.0,1360.0 ± 90.0,1360.0 ± 90.0,1320.0 ± 90.0,0.25 ± 0.02,0.75 ± 0.02,0.998 ± 0.002,0.975 ± 0.006
grisoni,-1,fragSMILES,3,512,300,0.001,512,6000,16,1.0,1790.0 ± 80.0,380.0 ± 30.0,1410.0 ± 80.0,1410.0 ± 80.0,1350.0 ± 70.0,0.21 ± 0.02,0.79 ± 0.02,0.997 ± 0.002,0.962 ± 0.005
grisoni,5,SELFIES,2,256,-1,0.001,256,6000,3,1.0,1800.0 ± 100.0,680.0 ± 80.0,1130.0 ± 70.0,1130.0 ± 70.0,1130.0 ± 70.0,0.38 ± 0.02,0.62 ± 0.02,1.0 ± 0.0,1.0 ± 0.0
grisoni,5,SELFIES,2,256,-1,0.001,512,6000,3,1.0,1810.0 ± 70.0,720.0 ± 50.0,1090.0 ± 30.0,1090.0 ± 30.0,1090.0 ± 30.0,0.4 ± 0.01,0.6 ± 0.01,1.0 ± 0.0,1.0 ± 0.0
grisoni,5,SELFIES,2,512,-1,0.001,256,6000,3,1.0,1900.0 ± 100.0,520.0 ± 40.0,1380.0 ± 80.0,1380.0 ± 80.0,1370.0 ± 80.0,0.274 ± 0.009,0.726 ± 0.009,1.0 ± 0.0,0.9991 ± 0.0006
grisoni,5,SELFIES,2,512,-1,0.001,512,6000,3,1.0,1900.0 ± 200.0,560.0 ± 60.0,1300.0 ± 100.0,1300.0 ± 100.0,1300.0 ± 100.0,0.3 ± 0.01,0.7 ± 0.01,1.0 ± 0.0,1.0 ± 0.0
grisoni,5,SELFIES,3,256,-1,0.001,256,6000,3,1.0,1900.0 ± 100.0,680.0 ± 70.0,1220.0 ± 50.0,1220.0 ± 50.0,1220.0 ± 50.0,0.36 ± 0.02,0.64 ± 0.02,1.0 ± 0.0,1.0 ± 0.0
grisoni,5,SELFIES,3,256,-1,0.001,512,6000,3,1.0,1840.0 ± 60.0,720.0 ± 30.0,1130.0 ± 50.0,1130.0 ± 50.0,1130.0 ± 50.0,0.39 ± 0.01,0.61 ± 0.01,1.0 ± 0.0,1.0 ± 0.0
grisoni,5,SELFIES,3,512,-1,0.001,256,6000,3,1.0,1940.0 ± 60.0,530.0 ± 30.0,1410.0 ± 60.0,1410.0 ± 60.0,1410.0 ± 60.0,0.27 ± 0.01,0.73 ± 0.01,1.0 ± 0.0,0.9997 ± 0.0004
grisoni,5,SELFIES,3,512,-1,0.001,512,6000,3,1.0,1900.0 ± 200.0,570.0 ± 60.0,1300.0 ± 100.0,1300.0 ± 100.0,1300.0 ± 100.0,0.31 ± 0.01,0.69 ± 0.01,1.0 ± 0.0,0.9999 ± 0.0003
grisoni,5,SMILES,2,256,-1,0.001,256,6000,3,1.0,1840.0 ± 100.0,450.0 ± 40.0,1390.0 ± 80.0,1390.0 ± 80.0,1390.0 ± 80.0,0.25 ± 0.01,0.75 ± 0.01,1.0 ± 0.0,0.9997 ± 0.0004
grisoni,5,SMILES,2,256,-1,0.001,512,6000,3,1.0,1840.0 ± 70.0,510.0 ± 30.0,1330.0 ± 70.0,1330.0 ± 70.0,1330.0 ± 70.0,0.28 ± 0.02,0.72 ± 0.02,1.0 ± 0.0,0.9997 ± 0.0004
grisoni,5,SMILES,2,512,-1,0.001,256,6000,3,1.0,1800.0 ± 200.0,320.0 ± 50.0,1500.0 ± 100.0,1500.0 ± 100.0,1500.0 ± 100.0,0.17 ± 0.01,0.83 ± 0.01,1.0 ± 0.0,0.997 ± 0.001
grisoni,5,SMILES,2,512,-1,0.001,512,6000,3,1.0,1800.0 ± 100.0,330.0 ± 50.0,1510.0 ± 80.0,1510.0 ± 80.0,1500.0 ± 80.0,0.18 ± 0.02,0.82 ± 0.02,1.0 ± 0.0,0.9977 ± 0.001
grisoni,5,SMILES,3,256,-1,0.001,256,6000,3,1.0,1800.0 ± 100.0,340.0 ± 30.0,1400.0 ± 100.0,1400.0 ± 100.0,1400.0 ± 100.0,0.19 ± 0.01,0.81 ± 0.01,1.0 ± 0.0,0.9995 ± 0.0007
grisoni,5,SMILES,3,256,-1,0.001,512,6000,3,1.0,1700.0 ± 100.0,400.0 ± 30.0,1350.0 ± 90.0,1350.0 ± 90.0,1350.0 ± 90.0,0.23 ± 0.01,0.77 ± 0.01,1.0 ± 0.0,1.0 ± 0.001
