,,,,,,total,total,unique,unique,novel,novel,chiral,chiral,unique%,unique%,novel%,novel%,chiral%,chiral%,inducedNewFrags,inducedNewFrags,inducedNewFrags%,inducedNewFrags%
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
aug,notation,hl,hu,bs,lr,,,,,,,,,,,,,,,,,,
1,SELFIES,2,512,512,0.001,5964.0,5.522680508593631,5572.6,42.881231325604446,5155.0,72.27378501227122,763.6,38.53310265213535,0.9343708048634802,0.006790485737298162,0.9250284497626152,0.006395840326505308,0.1481623744461341,0.008093545015010988,2816.6,95.84518767262132,0.5463743541962808,0.016462836157552833
1,SMILES,2,512,512,0.001,5976.2,7.726577508832744,5489.2,79.16249111795307,4599.6,112.71778919052662,818.4,41.48855263804704,0.9185054528827402,0.012778429374846922,0.8378420194371319,0.008777589532602117,0.17790968631329024,0.007393793680147486,823.2,24.953957601951636,0.17896414872391192,0.0026642631230182883
1,fragSMILES,2,512,512,0.001,5985.0,8.366600265340756,5495.6,52.074945991330615,4443.8,67.23615099037124,750.4,47.447866126939786,0.9182209467722535,0.007471269088639387,0.8085897669699389,0.00696795502026985,0.16881370801140208,0.009331372011768166,0.0,0.0,0.0,0.0
1,t-SMILES,2,512,512,0.001,5908.166666666667,8.681397736923858,5331.833333333333,45.12833551845964,4732.166666666667,43.91089462384781,759.0,58.09647149354253,0.9024462822764104,0.006740742312806874,0.8875330116922563,0.003963057867165092,0.16036342678014012,0.011695383089712807,672.3333333333334,41.769207158703246,0.1420834528703715,0.008849310851569163
5,SELFIES,2,512,256,0.001,5978.0,6.041522986797286,5624.6,37.50066666074085,5238.6,56.92802473299069,870.2,59.679979892758006,0.9408847518289412,0.006484684534554834,0.9313531761878068,0.004214799823166948,0.16607640326379022,0.010628160239942137,2299.4,58.19621980850646,0.4389160223378995,0.008996289348599916
5,SMILES,2,512,256,0.001,5975.6,4.979959839195494,5606.6,67.55590277688546,5027.0,123.34099075327715,954.2,132.35822603827842,0.938249152163752,0.011307194940028444,0.8965155568955018,0.011472041604993542,0.1895739308503192,0.0233361388430214,1062.4,42.951135025747575,0.21131219795084943,0.005578868740107144
5,fragSMILES,2,512,256,0.001,5978.0,6.855654600401044,5511.6,76.0085521503995,4441.6,140.36844374716134,831.2,82.70550163078633,0.9219804420337964,0.01266098263489288,0.8057148435783095,0.01496762195764021,0.18701998902548286,0.016321199005557376,0.0,0.0,0.0,0.0
5,t-SMILES,2,512,256,0.001,5924.6,9.633275663033837,5379.6,44.858666944081165,4728.8,42.61103143553322,814.0,50.532167972490555,0.9080129342667422,0.00776615253345264,0.8790331998819235,0.005322710370634859,0.1721461980814934,0.010717083393721386,596.4,53.66376803766206,0.1260768689916529,0.010651511424939478
