loss,running_loss,mode
0.4761943519115448,1.3260461122495852,Train
0.6065651178359985,0.48814429550109234,Eval
0.3497222661972046,0.35598696272648667,Train
0.4699666202068329,0.3586547057251838,Eval
0.32502874732017517,0.28824592545255306,Train
0.44249069690704346,0.3339050919331906,Eval
0.2673191726207733,0.2718885709277519,Train
0.4329792559146881,0.32302339617745635,Eval
0.2826988399028778,0.2639678757995921,Train
0.4218117296695709,0.31580646845643723,Eval
0.29986974596977234,0.25901076759477804,Train
0.4071112275123596,0.31134835899904956,Eval
0.2566606104373932,0.25556109850052894,Train
0.4150470495223999,0.3089545655919254,Eval
0.276843786239624,0.25267767266478547,Train
0.41020500659942627,0.3063648408670642,Eval
0.27556759119033813,0.2501713821035886,Train
0.4022446274757385,0.3045582901987831,Eval
0.2612425684928894,0.23982145730581625,Train
0.3967379629611969,0.2933364785894224,Eval
0.2688859701156616,0.23672559822051972,Train
0.38718169927597046,0.2914755164033773,Eval
0.24867506325244904,0.2346509156195324,Train
0.3877192735671997,0.2904481026861401,Eval
0.25851064920425415,0.2338021482711468,Train
0.38300377130508423,0.2889669216373588,Eval
0.28442883491516113,0.23200200615090064,Train
0.38182395696640015,0.2880674949741667,Eval
0.26296237111091614,0.23133026848632646,Train
0.38281095027923584,0.28763517475372524,Eval
0.2593785524368286,0.23020121152594225,Train
0.372573584318161,0.28652355870575524,Eval
0.22896870970726013,0.22945951766926687,Train
0.37809035181999207,0.2860467763780391,Eval
0.24086469411849976,0.22841126365808376,Train
0.3729150891304016,0.28566329599134105,Eval
0.2646424472332001,0.22813733823450952,Train
0.378989040851593,0.28508115698861736,Eval
0.18976807594299316,0.2222147554424041,Train
0.3702244162559509,0.2801981268705798,Eval
0.26001688838005066,0.22056506199517922,Train
0.3703335225582123,0.2797002101150273,Eval
