loss,running_loss,mode,lr
2.8263211250305176,3.6279369289984316,Train,0.001
2.838273525238037,2.7713325249251493,Eval,
1.6442699432373047,2.192162219983227,Train,0.001
1.697554588317871,1.6148514993729124,Eval,
1.0625784397125244,1.2748781005005934,Train,0.001
1.1445817947387695,1.0578641564615312,Eval,
0.9239305257797241,0.9699974431503164,Train,0.001
1.0165578126907349,0.9278574834587756,Eval,
0.8762463331222534,0.8861054561851477,Train,0.001
0.9819762706756592,0.8812023089778039,Eval,
0.8378655910491943,0.8458547362098807,Train,0.001
0.9438602924346924,0.8523073901412302,Eval,
0.8143549561500549,0.8206234589741234,Train,0.001
0.9362087249755859,0.8373200135846285,Eval,
0.8095816373825073,0.8019590940115596,Train,0.001
0.9329849481582642,0.8241965527175577,Eval,
0.7867832779884338,0.7876547027148325,Train,0.001
0.9177505373954773,0.8147920097074198,Eval,
0.7765412330627441,0.7758279331610853,Train,0.001
0.9194542169570923,0.8073769419423995,Eval,
0.7789046764373779,0.7661295734004518,Train,0.001
0.9045540690422058,0.8004101450725265,Eval,
0.7554622292518616,0.7578143554877734,Train,0.001
0.9025421738624573,0.7959797877137371,Eval,
