loss,running_loss,mode,lr
1.394311547279358,2.3506033031652995,Train,0.001
1.7166922092437744,1.758075299128047,Eval,
1.1120803356170654,1.4499096061602839,Train,0.001
1.1619694232940674,1.1272232554993542,Eval,
0.8435593247413635,0.9507457496990271,Train,0.001
0.9063240885734558,0.825765732605503,Eval,
0.6623111963272095,0.7005753882106028,Train,0.001
0.7491620779037476,0.6459106891503874,Eval,
0.7975562810897827,0.5874621432019181,Train,0.001
0.7983272075653076,0.6727433132956617,Eval,
0.7016153931617737,0.5298020774520595,Train,0.001
0.6437994837760925,0.5354156182059703,Eval,
0.5473372936248779,0.49447887906932386,Train,0.001
0.605064868927002,0.500881680761868,Eval,
0.491835355758667,0.4715445102952055,Train,0.001
0.5956942439079285,0.49006265865744275,Eval,
0.5695772767066956,0.45426594045004376,Train,0.001
0.5869885087013245,0.46769161262321013,Eval,
0.5211402177810669,0.44248187073438167,Train,0.001
0.5882105231285095,0.46526525598370805,Eval,
0.5462642312049866,0.43128328122216175,Train,0.001
0.5586180090904236,0.44474818009250555,Eval,
0.6827960014343262,0.4242993148470886,Train,0.001
0.5728095769882202,0.45645048560680074,Eval,
0.6537319421768188,0.4165068078724487,Train,0.001
0.5772409439086914,0.4483719295909942,Eval,
0.4647936224937439,0.411731966967138,Train,0.001
0.5536762475967407,0.43091484524731355,Eval,
0.5184481739997864,0.4057949210911215,Train,0.001
0.5390365719795227,0.42864305533047015,Eval,
0.5802516341209412,0.40146428646066246,Train,0.001
0.5324227809906006,0.41909170474083934,Eval,
0.5964277386665344,0.39743705652213873,Train,0.001
0.5832040309906006,0.460502455116443,Eval,
0.600718080997467,0.3956190888939455,Train,0.001
0.5406282544136047,0.4133333463994962,Eval,
0.5319573283195496,0.3911824276930622,Train,0.001
0.5395780205726624,0.41836840589091473,Eval,
0.5411328673362732,0.38806641839849704,Train,0.001
0.526466429233551,0.4035003470643511,Eval,
