loss,running_loss,mode,lr
0.5631923675537109,1.2747573283290707,Train,0.001
0.5468420386314392,0.5364363665616809,Eval,
0.2815583646297455,0.3778541511161824,Train,0.001
0.3489234745502472,0.30348758607933807,Eval,
0.27402856945991516,0.24183105518340595,Train,0.001
0.30130693316459656,0.25795624547396806,Eval,
0.22172129154205322,0.20905178037445182,Train,0.001
0.28350013494491577,0.2406101394409493,Eval,
0.22314471006393433,0.19559636508267578,Train,0.001
0.2720178961753845,0.23108751105676298,Eval,
0.20646901428699493,0.1886081103283083,Train,0.001
0.2706336975097656,0.22670771612562188,Eval,
0.19424134492874146,0.1838562505868897,Train,0.001
0.2560621201992035,0.22281658984650285,Eval,
0.18122000992298126,0.180744386789813,Train,0.001
0.25362223386764526,0.21990362398453167,Eval,
0.20343559980392456,0.1789876387912517,Train,0.001
0.25145581364631653,0.21831515501825502,Eval,
0.1934540569782257,0.177673120871433,Train,0.001
0.2517363727092743,0.21662002338522568,Eval,
0.1307200789451599,0.17542435191095668,Train,0.001
0.2510961592197418,0.21549425779759104,Eval,
0.17614103853702545,0.17432746081006975,Train,0.001
0.24866224825382233,0.21447484148754278,Eval,
0.19296792149543762,0.17311321703873153,Train,0.001
0.24610194563865662,0.21341738306225358,Eval,
0.18875260651111603,0.17215035004224807,Train,0.001
0.24858325719833374,0.2126700060832928,Eval,
0.13501086831092834,0.17112067488488927,Train,0.001
0.2423337996006012,0.21184493144991734,Eval,
0.15139953792095184,0.1705741913706218,Train,0.001
0.24284598231315613,0.21119685295004473,Eval,
0.17401476204395294,0.1699746962067251,Train,0.001
0.24595654010772705,0.21080598604138256,Eval,
0.18074600398540497,0.1692777641374977,Train,0.001
0.24550403654575348,0.21046418162847952,Eval,
